ts_code,bond_full_name,bond_short_name,cb_type,cb_code,stk_cd,stk_short_name,maturity,par_value,issue_price,issue_size,remain_size,value_date,maturity_date,rate_type,coupon_rate,add_rate,interest_freq,list_date,delist_date,exchange,conv_start_date,conv_end_date,conv_stop_date,first_conv_price,conv_price,rate_clause
125002.SZ,万科企业股份有限公司可转换公司债券,万科转债,CB,,000002.SZ,万科A,5.0,100.0,100.0,1500000000.0,0.0,20020613,2007-06-13,,0.015,0.0,1,2002-06-28,2004-04-30,SZ,20021213,20070612,20040423,12.1,5.85,"20020613-20030612,票面利率:1.50%;20030613-20040422,票面利率:1.50%"
125009.SZ,中国宝安集团股份有限公司可转换公司债券,宝安转券,CB,,000009.SZ,中国宝安,3.0,1.0,1.0,500000000.0,0.0,19930101,1996-01-01,,0.03,,1,1993-02-10,1996-01-01,SZ,19930601,19951231,,25.0,19.392,"19930101-19931231,票面利率:3.00%;19940101-19941231,票面利率:3.00%;19950101-19951231,票面利率:3.00%"
125069.SZ,深圳华侨城控股股份有限公司可转换公司债券,侨城转债,CB,,000069.SZ,华侨城A,3.0,100.0,100.0,400000000.0,0.0,20031231,2006-12-31,,0.018000000000000002,,1,2004-01-16,2005-04-29,SZ,20040701,20061230,20050422,6.15,6.15,"20031231-20041230,票面利率:1.20%;20041231-20050421,票面利率:1.80%"
125301.SZ,吴江丝绸股份有限公司可转换公司债券,丝绸转债,CB,,000301.SZ,东方盛虹,5.0,100.0,100.0,200000000.0,0.0,19980828,2003-08-28,,0.018000000000000002,,1,1998-09-15,2003-08-28,SZ,20000529,20030827,20030828,4.1,4.1,"19980828-19990827,票面利率:1.00%;19990828-20000827,票面利率:1.20%;20000828-20010827,票面利率:1.40%;20010828-20020827,票面利率:1.60%;20020828-20030827,票面利率:1.80%"
126301.SZ,吴江丝绸股份有限公司可转换公司债券,丝绸转2,CB,,000301.SZ,东方盛虹,5.0,100.0,100.0,800000000.0,0.0,20020909,2007-09-09,,0.018000000000000002,,1,2002-09-24,2006-09-18,SZ,20030310,20070908,20060911,8.78,3.0,"20020909-20030908,票面利率:1.80%;20030909-20040908,票面利率:1.80%;20040909-20050908,票面利率:1.80%;20050909-20060908,票面利率:1.80%"
125629.SZ,攀枝花新钢钒股份有限公司可转换公司债券,钢钒转债,CB,,000629.SZ,钒钛股份,5.0,100.0,100.0,1600000000.0,0.0,20030122,2008-01-22,,0.018000000000000002,3.0,1,2003-02-17,2004-04-14,SZ,20030722,20080121,20040406,5.8,5.64,"20030122-20040121,票面利率:1.50%;20040122-20040405,票面利率:1.80%"
125630.SZ,安徽铜都铜业股份有限公司可转换公司债券,铜都转债,CB,,000630.SZ,铜陵有色,5.0,100.0,100.0,760000000.0,0.0,20030521,2008-05-21,,0.012,7.9,1,2003-06-04,2006-07-11,SZ,20031121,20080515,20060630,6.9,4.45,"20030521-20040520,票面利率:1.20%;20040521-20050520,票面利率:1.20%;20050521-20060520,票面利率:1.20%;20060521-20060629,票面利率:1.20%"
125729.SZ,北京燕京啤酒股份有限公司可转换公司债券,燕京转债,CB,,000729.SZ,燕京啤酒,5.0,100.0,100.0,700000000.0,0.0,20021016,2007-10-16,,0.012,,1,2002-10-31,2007-10-16,SZ,20031016,20071015,20071016,10.59,7.06,"20021016-20031015,票面利率:1.20%;20031016-20041015,票面利率:1.20%;20041016-20051015,票面利率:1.20%;20051016-20061015,票面利率:1.20%;20061016-20071015,票面利率:1.20%"
125898.SZ,鞍钢新轧钢股份有限公司可转换公司债券,鞍钢转债,CB,,000898.SZ,鞍钢股份,5.0,100.0,100.0,1500000000.0,0.0,20000315,2005-03-15,,0.012,,1,2000-04-17,2005-03-14,SZ,20000918,20050314,20050314,3.3,2.83,"20000315-20010314,票面利率:1.20%;20010315-20020314,票面利率:1.20%;20020315-20030314,票面利率:1.20%;20030315-20040314,票面利率:1.20%;20040315-20050314,票面利率:1.20%"
125930.SZ,安徽丰原生物化学股份有限公司可转换公司债券,丰原转债,CB,,000930.SZ,中粮科技,5.0,100.0,100.0,500000000.0,0.0,20030424,2008-04-24,,0.022000000000000002,,1,2003-05-20,2006-03-24,SZ,20031027,20080422,20060313,8.13,2.4,"20030424-20040423,票面利率:1.80%;20040424-20050423,票面利率:2.00%;20050424-20060312,票面利率:2.20%"
125936.SZ,江苏华西村股份有限公司可转换公司债券,华西转债,CB,,000936.SZ,华西股份,5.0,100.0,100.0,400000000.0,0.0,20030901,2008-09-01,,0.021,2.9,1,2003-09-16,2006-08-21,SZ,20040301,20080831,20060814,11.86,2.7,"20030901-20040831,票面利率:1.60%;20040901-20050831,票面利率:1.80%;20050901-20060813,票面利率:2.10%"
125959.SZ,北京首钢股份有限公司可转换公司债券,首钢转债,CB,,000959.SZ,首钢股份,5.0,100.0,100.0,2000000000.0,0.0,20031216,2008-12-16,,0.015,,1,2003-12-31,2007-04-13,SZ,20040616,20081215,20070406,5.76,2.97,"20031216-20041215,票面利率:1.50%;20041216-20051215,票面利率:1.50%;20051216-20061215,票面利率:1.50%;20061216-20070405,票面利率:1.50%"
125302.SZ,中国石化茂名炼油化工股份有限公司可转换公司债券,茂炼转债,CB,,,,5.0,100.0,100.0,1500000000.0,0.0,19990728,2004-07-28,,0.025,,1,1999-08-17,2004-07-28,SZ,,,,,,"19990728-20000727,票面利率:1.30%;20000728-20010727,票面利率:1.60%;20010728-20020727,票面利率:1.90%;20020728-20030727,票面利率:2.20%;20030728-20040727,票面利率:2.50%"
