ts_code,source_ok,source_error,resale_clause,redeem_clause,put_trigger_ratio,put_window_days,put_eligible_years,redeem_trigger_ratio,redeem_window_days,redeem_required_days,redeem_balance_threshold_wan,maturity_redemption_price
110030.SH,True,,"(1)有条件回售条款:自本次可转债第三个计息年度起,如果公司股票在任何连续30个交易日的收盘价格低于当期转股价格的70%,可转债持有人有权将全部或部分其持有的可转债按照103元(含当期应计利息)的价格回售给公司。若在上述交易日内发生过转股价格因发生送红股、转增股本、增发新股(不包括因本次发行的可转债转股而增加的股本)、配股以及派发现金股利等情况而调整的情形,则在调整前的交易日按调整前的转股价格和收盘价格计算,在调整后的交易日按调整后的转股价格和收盘价格计算。如果出现转股价格向下修正的情况,则上述“连续30个交易日”须从转股价格调整之后的第一个交易日起重新计算。自本次可转债第三个计息年度起,可转债持有人在每年回售条件首次满足后可按上述约定条件行使回售权一次,若在首次满足回售条件而可转债持有人未在公司届时公告的回售申报期内申报并实施回售的,该计息年度不应再行使回售权。可转债持有人不能多次行使部分回售权。(2)附加回售条款:若公司本次发行的可转债募集资金投资项目的实施情况与公司在募集说明书中的承诺情况相比出现重大变化,根据中国证监会的相关规定被视作改变募集资金用途或被中国证监会认定为改变募集资金用途的,可转债持有人享有一次回售的权利。可转债持有人有权将其持有的可转债全部或部分按照103元(含当期应计利息)的价格回售给公司。持有人在附加回售条件满足后,可以在公司公告后的附加回售申报期内进行回售,本次附加回售申报期内不实施回售的,不应再行使附加回售权。","(1)到期赎回条款:在本次发行的可转债期满后五个交易日内,本公司将以本次发行的可转债的票面面值的106%(含最后一期利息)的价格向投资者赎回全部未转股的可转债。(2)有条件赎回条款:在转股期内,当下述情形的任意一种出现时,公司有权决定按照以面值加当期应计利息的价格赎回全部或部分未转股的可转债:A.在转股期内,如果公司股票在任何连续30个交易日中至少15个交易日的收盘价格不低于当期转股价格的130%(含130%);B.当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为:IA=B×i×t/365IA:指当期应计利息;B:指本次发行的可转债持有人持有的将赎回的可转债票面总金额;i:指可转债当年票面利率;t:指计息天数,即从上一个付息日起至本计息年度赎回日止的实际日历天数(算头不算尾)。若在前述30个交易日内发生过转股价格调整的情形,则在调整前的交易日按调整前的转股价格和收盘价格计算,调整后的交易日按调整后的转股价格和收盘价格计算。",0.7,30.0,,1.3,30.0,15.0,3000.0,106.0
110031.SH,True,,"公司股票在最后两个计息年度任何连续30个交易日的收盘价格低于当期转股价格的70%时,可转债持有人有权将其持有的可转债全部或部分按债券面值加当期应计利息的价格回售给发行人。若在上述交易日内发生过转股价格因发生送红股、转增股本、增发新股(不包括因本次发行的可转债转股而增加的股本)、配股以及派发现金股利等情况而调整的情形,则在调整前的交易日按调整前的转股价格和收盘价格计算,在调整后的交易日按调整后的转股价格和收盘价格计算。如果出现转股价格向下修正的情况,则上述“连续30个交易日”须从转股价格调整之后的第一个交易日起重新计算。最后两个计息年度可转债持有人在每年回售条件首次满足后可按上述约定条件行使回售权一次,若在首次满足回售条件而可转债持有人未在公司届时公告的回售申报期内申报并实施回售的,该计息年度不应再行使回售权。可转债持有人不能多次行使部分回售权。","(1)到期赎回:在本次发行的可转债期满后5个交易日内,公司将以本次发行的可转债的票面面值的107%(含最后一年利息)向可转债持有人赎回全部未转股的可转换公司债券。(2)有条件赎回:转股期内,当下述两种情形的任意一种出现时,公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债:A、在转股期内,如果公司股票在任何连续30个交易日中至少20个交易日的收盘价格不低于当期转股价格的130%(含130%);B、当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为:IA=B×i×t/365IA:指当期应计利息;B:指本次发行的可转债持有人持有的将赎回的可转债票面总金额;i:指可转债当年票面利率;t:指计息天数,即从上一个付息日起至本计息年度赎回日止的实际日历天数(算头不算尾)。若在前述30个交易日内发生过转股价格调整的情形,则在调整前的交易日按调整前的转股价格和收盘价计算,调整后的交易日按调整后的转股价格和收盘价计算。",0.7,30.0,2.0,1.3,30.0,20.0,3000.0,107.0
110032.SH,True,,"(1)有条件回售,自本次可转债第五个计息年度起,如果公司股票收盘价连续30个交易日低于当期转股价格的70%,可转债持有人有权将其持有的可转债全部或部分按面值的103%(含当期计息年度利息)回售给公司。若在上述交易日内发生过转股价格调整的情形,则在调整前的交易日按调整前的转股价格和收盘价格计算,在调整后的交易日按调整后的转股价格和收盘价格计算。","(1)到期赎回条款,在本次发行的可转债期满后五个交易日内,本公司将以本次发行的可转债的票面面值的106%(含最后一期利息)的价格向投资者赎回全部未转股的可转债。(2)有条件赎回条款,在本可转债转股期内,如果公司股票任意连续30个交易日中至少有15个交易日的收盘价不低于当期转股价格的130%(含130%)或未转股余额不足3,000万元,公司有权按照债券面值加当期应计利息赎回部分或者全部转债。若在上述交易日内发生过转股价格调整的情形,则在调整前的交易日按调整前的转股价格和收盘价格计算,在调整后的交易日按调整后的转股价格和收盘价格计算。当期应计利息的计算公式为:IA=B×i×t/365IA:指当期应计利息;B:指本次发行的可转债持有持有的可转债票面总金额;i:指可转债当年票面利率;t:指计息天数,即从上一个付息日起至本计息年度赎回日止的实际日历天数(算头不算尾)。",0.7,30.0,,1.3,30.0,15.0,3000.0,106.0
110033.SH,True,,"(1)有条件回售条款:本次发行的可转债最后两个计息年度,如果公司A股股票在任何连续30个交易日的收盘价格低于当期转股价格的70%时,可转债持有人有权将其持有的可转债全部或部分按债券面值加上当期应计利息的价格回售给公司。若在上述交易日内发生过转股价格因发生派送红股、转增股本、增发新股(不包括因本次发行的可转债转股而增加的股本)、配股以及派发现金股利等情况而调整的情形,则在调整前的交易日按调整前的转股价格和收盘价格计算,在调整后的交易日按调整后的转股价格和收盘价格计算。如果出现转股价格向下修正的情况,则上述30个交易日须从转股价格调整之后的第一个交易日起重新计算。本次发行的可转债最后两个计息年度,可转债持有人在每年回售条件首次满足后可按上述约定条件行使回售权一次,若在首次满足回售条件而可转债持有人未在公司届时公告的回售申报期内申报并实施回售的,该计息年度不应再行使回售权,可转债持有人不能多次行使部分回售权。","(1)到期赎回条款:在本次发行的可转债期满后5个交易日内,公司将以本次发行的可转债的票面面值的108%(含最后一年利息)向可转债持有人赎回全部未转股的可转换公司债券。(2)有条件赎回条款:在本次发行的可转债转股期内,当下述两种情形的任意一种出现时,公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债:①在本次发行的可转债转股期内,如果公司A股股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%(含130%)。②当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为:IA=B×i×t/365IA:指当期应计利息;B:指本次发行的可转债持有人持有的可转债票面总金额;i:指可转债当年票面利率;t:指计息天数,即从上一个付息日起至本计息年度赎回日止的实际日历天数(算头不算尾)。若在前述30个交易日内发生过转股价格调整的情形,则在调整前的交易日按调整前的转股价格和收盘价格计算,调整后的交易日按调整后的转股价格和收盘价格计算。",0.7,30.0,2.0,1.3,30.0,15.0,3000.0,108.0
110034.SH,True,,"1、有条件回售:在本可转债最后两个计息年度,如果公司股票收盘价任意连续30个交易日低于当期转股价格的70%时,可转债持有人有权将其持有的可转债全部或部分按债券面值的103%(含当期应计利息)回售给本公司。若在上述交易日内发生过转股价格调整的情形,则在调整前的交易日按调整前的转股价格和收盘价格计算,在调整后的交易日按调整后的转股价格和收盘价格计算。在本可转债最后两个计息年度,可转债持有人在每年回售条件首次满足后可按上述约定条件行使回售权一次,若在首次满足回售条件而可转债持有人未在公司届时公告的回售申报期内申报并实施回售的,该计息年度不应再行使回售权。2、附加回售:在本可转债存续期间内,如果本次发行所募集资金的使用与本公司在募集说明书中的承诺相比出现重大变化,根据中国证监会的相关规定可被视作改变募集资金用途或者被中国证监会认定为改变募集资金用途的,可转债持有人享有一次回售的权利。可转债持有人有权按债券面值的103%(含当期应计利息)的价格向本公司回售其持有的部分或全部可转换公司债券。持有人在附加回售申报期内未进行附加回售申报的,不应再行使本次附加回售权。","(1)到期赎回:本次发行的可转债到期后五个交易日内,公司将按债券面值的108%(含最后一期利息)的价格赎回未转股的可转债。(2)有条件赎回:转股期内,当下述两种情形的任意一种出现时,公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债:①在转股期内,如果公司A股股票在任意连续30个交易日中至少有20个交易日的收盘价不低于当期转股价格的130%(含130%);②当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为:IA=B×i×t/365其中,IA:指当期应计利息;B:指本次发行的可转债持有人持有的可转债票面总金额;i:指可转债当年票面利率;t:指计息天数,即从上一个付息日起至本计息年度赎回日止的实际日历天数(不包括赎回日当日)。若在前述30个交易日内发生过转股价格调整的情形,则在调整前的交易日按调整前的转股价格和收盘价计算,调整后的交易日按调整后的转股价格和收盘价计算。",0.7,30.0,2.0,1.3,30.0,20.0,3000.0,108.0
110035.SH,True,,"(1)有条件回售:公司股票在本次可转债最后两个计息年度任何连续三十个交易日的收盘价格低于当期转股价格的70%时,可转债持有人有权将其持有的可转债全部或部分按债券面值的103%(含当期利息)的价格回售给公司。若在上述交易日内发生过转股价格因发生送红股、转增股本、增发新股(不包括因本次可转债转股而增加的股本)、配股以及派发现金股利等情况而调整的情形,则在调整前的交易日按调整前的转股价格和收盘价格计算,在调整日及之后的交易日按调整后的转股价格和收盘价格计算。如果出现转股价格向下修正的情况,则上述“连续三十个交易日”须从转股价格调整之后的第一个交易日起重新计算。最后两个计息年度可转债持有人在每年回售条件首次满足后可按上述约定条件行使回售权一次,若在首次满足回售条件而可转债持有人未在公司届时公告的回售申报期内申报并实施回售的,该计息年度不应再行使回售权。可转债持有人不能多次行使部分回售权。(2)附加回售:若本次可转债募集资金投资项目的实施情况与公司在募集说明书中的承诺情况相比出现重大变化,根据中国证监会的相关规定被视作改变募集资金用途或被中国证监会认定为改变募集资金用途的,可转债持有人享有一次回售的权利。可转债持有人有权将全部或部分其持有的可转债按照103元(含当期应计利息)回售给公司。持有人在附加回售条件满足后,可以在公司公告后的附加回售申报期内进行回售,本次附加回售申报期内不实施回售的,不应再行使附加回售权。","(1)到期赎回条款:在本次可转债期满后五个交易日内,公司将以本次可转债票面面值上浮6%(含最后一期利息)的价格向投资者赎回全部未转股的可转债。(2)有条件赎回条款:转股期内,当下述两种情形的任意一种出现时,公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的A股可转债:①在转股期内,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%(含130%);②当本次可转债未转股余额不足3,000万元时。若在前述三十个交易日内发生过转股价格调整的情形,则在调整前的交易日按调整前的转股价格和收盘价计算,调整日及之后的交易日按调整后的转股价格和收盘价计算。当期应计利息的计算公式为:IA=B×i×t/365IA:指当期应计利息;B:指本次可转债持有人持有的可转债票面总金额;i:指可转债当年票面利率;t:指计息天数,即从上一个付息日起至本计息年度赎回日止的实际日历天数(算头不算尾)。",0.7,30.0,2.0,1.3,30.0,15.0,3000.0,106.0
110038.SH,True,,"①有条件回售条款在本次发行的可转债最后两个计息年度,如果公司股票在任何连续三十个交易日的收盘价格低于当期转股价的50%时,可转债持有人有权将其持有的可转债全部或部分按面值加上当期应计利息的价格回售给公司。若在上述交易日内发生过转股价格因发生送红股、转增股本、增发新股(不包括因本次发行的可转债转股而增加的股本)、配股以及派发现金股利等情况而调整的情形,则在调整前的交易日按调整前的转股价格和收盘价格计算,在调整后的交易日按调整后的转股价格和收盘价格计算。如果出现转股价格向下修正的情况,则上述“连续三十个交易日”须从转股价格调整之后的第一个交易日起重新计算(当期应计利息的计算方式参见赎回条款的相关内容)。最后两个计息年度可转债持有人在每年回售条件首次满足后可按上述约定条件行使回售权一次,若在首次满足回售条件而可转债持有人未在公司届时公告的回售申报期内申报并实施回售的,该计息年度不能再行使回售权,可转债持有人不能多次行使部分回售权。②附加回售条款若公司本次发行的可转债募集资金投资项目的实施情况与公司在募集说明书中的承诺情况相比出现重大变化,根据中国证监会的相关规定被视作改变募集资金用途或被中国证监会认定为改变募集资金用途的,可转债持有人享有一次回售的权利。可转债持有人有权将其持有的可转债全部或部分按债券面值加上当期应计利息价格回售给公司。持有人在附加回售条件满足后,可以在公司公告后的附加回售申报期内进行回售,该次附加回售申报期内不实施回售的,不应再行使附加回售权(当期应计利息的计算方式参见赎回条款的相关内容)。","①到期赎回条款在本次发行的可转债期满后五个交易日内,公司将以本次发行的可转债的票面面值加上最后一期年度利息的价格向投资者兑付全部未转股的可转债。②有条件赎回条款在本次发行的可转债转股期内,当下述两种情形的任意一种出现时,公司董事会有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债:A.在本次发行的可转债转股期内,如果公司A股股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的125%(含125%)。B.当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为:IA=B×i×t/365IA:指当期应计利息;B:指本次发行的可转债持有人持有的可转债票面总金额;i:指可转债当年票面利率;t:指计息天数,即从上一个付息日起至本计息年度赎回日止的实际日历天数(算头不算尾)。若在前述30个交易日内发生过转股价格调整的情形,则在调整前的交易日按调整前的转股价格和收盘价格计算,调整后的交易日按调整后的转股价格和收盘价格计算。",0.5,30.0,2.0,1.25,30.0,15.0,3000.0,
110039.SH,True,,"(1)有条件回售在可转债最后两个计息年度内,如果公司A股股票任何连续30个交易日收盘价格低于当期转股价格的70%,可转债持有人有权将其持有的全部或部分可转债按面值加上当期应计利息的价格回售给公司。若在上述30个交易日内发生过转股价格调整的情形,则调整前的交易日按调整前的转股价格和收盘价格计算,调整后的交易日按调整后的转股价格和收盘价格计算。如果出现转股价格向下修正的情况,则上述连续30个交易日须从转股价格向下修正之后的第一个交易日起重新计算。在可转债最后两个计息年度内,可转债持有人在每年回售条件首次满足后可按上述约定条件行使回售权一次;若首次满足回售条件而可转债持有人未在公司届时公告的回售申报期内申报并实施回售的,该计息年度不应再行使回售权,可转债持有人不能多次行使部分回售权。(2)附加回售若公司本次发行可转债募集资金投资项目实施情况与公司在募集说明书中的承诺情况相比出现重大变化,根据中国证监会的相关规定被视作改变募集资金用途或被中国证监会认定为改变募集资金用途的,可转债持有人享有一次回售权利。可转债持有人有权将其持有的全部或部分可转债按债券面值加上当期应计利息的价格回售给公司。持有人在附加回售条件满足后,可以在公司公告后的申报期内回售;申报期内不实施回售的,不应再行使附加回售权。","(1)到期赎回本次发行可转债到期后五个交易日内,公司将按债券面值的106%(含最后一期利息)的价格赎回未转股的可转债。(2)有条件赎回在转股期内,当下述任意一种情形出现时,公司有权决定按照以债券面值加当期应计利息的价格赎回全部或部分未转股的可转债:1)公司A股股票在任何连续30个交易日中至少15个交易日收盘价格不低于当期转股价格的130%;2)当本次发行可转债未转股余额不足3,000万元时。当期应计利息的计算公式为:IA=B×i×t/365其中:IA指当期应计利息,B指本次发行可转债持有人持有的将赎回的可转债票面总金额,i指当年票面利率,t指计息天数,即从上一个付息日起至赎回日止的实际日历天数(算头不算尾)。若在前述30个交易日内发生过转股价格调整的情形,则调整前的交易日按调整前的转股价格和收盘价格计算,调整后的交易日按调整后的转股价格和收盘价格计算。",0.7,30.0,2.0,1.3,30.0,15.0,3000.0,106.0
110040.SH,True,,"若本次发行可转换公司债券募集资金运用的实施情况与公司在募集说明书中的承诺相比出现重大变化,且该变化被中国证监会认定为改变募集资金用途的,可转换公司债券持有人享有一次以面值加上当期应计利息的价格向公司回售其持有的全部或部分可转换公司债券的权利。在上述情形下,可转换公司债券持有人可以在回售申报期内进行回售,在回售申报期内不实施回售的,自动丧失该回售权(当期应计利息的计算方式参见第16条赎回条款的相关内容)。","(1)到期赎回条款在本次可转债期满后五个交易日内,公司将以本次可转债票面面值上浮106%(含最后一期利息)的价格向投资者赎回全部未转股的可转债。(2)有条件赎回条款在本次发行的可转换公司债券转股期内,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%(含130%),或本次发行的可转换公司债券未转股余额不足人民币3,000万元时,公司董事会有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券。当期应计利息的计算公式为:IA=B×i×t/365IA:指当期应计利息;B:指本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额;i:指可转换公司债券当年票面利率;(1)到期赎回条款在本次可转债期满后五个交易日内,公司将以本次可转债票面面值上浮106%(含最后一期利息)的价格向投资者赎回全部未转股的可转债。(2)有条件赎回条款在本次发行的可转换公司债券转股期内,如果公司股票连续三十个交易日中至少有十五个交易日的收盘价不低于当期转股价格的130%(含130%),或本次发行的可转换公司债券未转股余额不足人民币3,000万元时,公司董事会有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券。当期应计利息的计算公式为:IA=B×i×t/365IA:指当期应计利息;B:指本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额;i:指可转换公司债券当年票面利率;",,,,1.3,30.0,15.0,,206.0
110041.SH,True,,"在本次发行的可转换公司债券最后两个计息年度,如果公司股票在任何连续三十个交易日的收盘价格低于当期转股价的70%时,可转换公司债券持有人有权将其持有的可转换公司债券全部或部分按面值加上当期应计利息的价格回售给公司。若在上述交易日内发生过转股价格因发生送红股、转增股本、增发新股(不包括因本次发行的可转换公司债券转股而增加的股本)、配股以及派发现金股利等情况而调整的情形,则在调整前的交易日按调整前的转股价格和收盘价格计算,在调整后的交易日按调整后的转股价格和收盘价格计算。如果出现转股价格向下修正的情况,则上述“连续三十个交易日”须从转股价格调整之后的第一个交易日起重新计算。最后两个计息年度可转换公司债券持有人在每年回售条件首次满足后可按上述约定条件行使回售权一次,若在首次满足回售条件而可转换公司债券持有人未在公司届时公告的回售申报期内申报并实施回售的,该计息年度不能再行使回售权,可转换公司债券持有人不能多次行使部分回售权。","(1)到期赎回条款在本次发行的可转换公司债券期满后五个交易日内,公司将按债券面值的106%(含最后一期利息)的价格赎回未转股的可转换公司债券。(2)有条件赎回条款转股期内,当下述两种情形的任意一种出现时,公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转换公司债券:1)在转股期内,如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%(含130%);2)当本次发行的可转换公司债券未转股余额不足3,000万元时。当期应计利息的计算公式为:IA=B×i×t/365IA:指当期应计利息;B:指本次发行的可转换公司债券持有人持有的可转换公司债券票面总金额;i:指可转换公司债券当年票面利率;t:指计息天数,即从上一个付息日起至本计息年度赎回日止的实际日历天数(算头不算尾)。若在前述三十个交易日内发生过转股价格调整的情形,则在调整前的交易日按调整前的转股价格和收盘价计算,调整后的交易日按调整后的转股价格和收盘价计算。",0.7,30.0,2.0,1.3,30.0,15.0,3000.0,106.0
