ts_code,bond_short_name,publish_date,change_date,convert_price_initial,convertprice_bef,convertprice_aft
110030.SH,格力转债,20141223,20141225,20.9,,
110030.SH,格力转债,20160520,20160526,20.9,20.9,7.39
110030.SH,格力转债,20160824,20160825,20.9,7.39,7.26
110030.SH,格力转债,20170705,20170711,20.9,7.26,7.24
110030.SH,格力转债,20180814,20180820,20.9,7.24,6.94
110030.SH,格力转债,20190928,20191008,20.9,6.94,5.0
110031.SH,航信转债,20150610,20150612,86.61,,
110031.SH,航信转债,20160525,20160531,86.61,86.61,43.05
110031.SH,航信转债,20170518,20170526,86.61,43.05,42.8
110031.SH,航信转债,20180622,20180628,86.61,42.8,42.38
110031.SH,航信转债,20190617,20190621,86.61,42.38,41.94
110031.SH,航信转债,20191226,20191227,86.61,41.94,21.79
110031.SH,航信转债,20200714,20200720,86.61,21.79,21.56
110032.SH,三一转债,20151230,20160104,7.5,,
110032.SH,三一转债,20160817,20160824,7.5,7.5,7.49
110032.SH,三一转债,20170110,20170111,7.5,7.49,7.46
110032.SH,三一转债,20170817,20170824,7.5,7.46,7.45
110032.SH,三一转债,20171017,20171024,7.5,7.45,7.43
110032.SH,三一转债,20180731,20180801,7.5,7.43,7.41
110032.SH,三一转债,20180814,20180821,7.5,7.41,7.25
110033.SH,国贸转债,20151231,20160105,9.03,,
110033.SH,国贸转债,20160614,20160621,9.03,9.03,8.93
110033.SH,国贸转债,20170629,20170706,9.03,8.93,8.81
110033.SH,国贸转债,20180702,20180709,9.03,8.81,8.61
110033.SH,国贸转债,20190703,20190710,9.03,8.61,8.34
110033.SH,国贸转债,20191112,20191113,9.03,8.34,7.42
110033.SH,国贸转债,20200624,20200703,9.03,7.42,7.19
110033.SH,国贸转债,20210120,20210121,9.03,7.19,7.18
110033.SH,国贸转债,20210626,20210705,9.03,7.18,6.72
110034.SH,九州转债,20160113,20160115,18.78,,
110034.SH,九州转债,20160624,20160627,18.78,18.78,18.65
110034.SH,九州转债,20171129,20171130,18.78,18.65,18.52
110034.SH,九州转债,20180615,20180625,18.78,18.52,18.42
110034.SH,九州转债,20190619,20190626,18.78,18.42,18.32
110034.SH,九州转债,20210608,20210617,18.78,18.32,17.83
110035.SH,白云转债,20160224,20160226,12.88,,
110035.SH,白云转债,20160801,20160805,12.88,12.88,12.56
110038.SH,济川转债,20171109,20171113,41.04,,
110038.SH,济川转债,20180525,20180601,41.04,41.04,40.04
110038.SH,济川转债,20190527,20190603,41.04,40.04,38.81
110038.SH,济川转债,20200303,20200304,41.04,38.81,25.5
110038.SH,济川转债,20200417,20200424,41.04,25.5,24.27
110038.SH,济川转债,20201105,20201106,41.04,24.27,23.85
110038.SH,济川转债,20210520,20210526,41.04,23.85,23.4
110038.SH,济川转债,20220519,20220526,41.04,23.4,22.72
110038.SH,济川转债,20220929,20220930,41.04,22.72,22.67
110039.SH,宝信转债,20171115,20171117,18.46,,
110039.SH,宝信转债,20180208,20180212,18.46,18.46,18.36
110039.SH,宝信转债,20180427,20180508,18.46,18.36,18.19
110040.SH,生益转债,20171122,20171124,17.34,,
110040.SH,生益转债,20180503,20180504,17.34,17.34,17.3
110040.SH,生益转债,20180521,20180528,17.34,17.3,11.62
110040.SH,生益转债,20190530,20190606,17.34,11.62,11.27
110041.SH,蒙电转债,20171220,20171222,2.95,,
110041.SH,蒙电转债,20180720,20180730,2.95,2.95,2.92
110041.SH,蒙电转债,20190807,20190815,2.95,2.92,2.82
110041.SH,蒙电转债,20200721,20200729,2.95,2.82,2.69
110041.SH,蒙电转债,20210617,20210625,2.95,2.69,2.56
110042.SH,航电转债,20171221,20171225,14.29,,
110042.SH,航电转债,20180625,20180629,14.29,14.29,14.23
110042.SH,航电转债,20190708,20190712,14.29,14.23,14.18
110042.SH,航电转债,20200810,20200817,14.29,14.18,14.12
110043.SH,无锡转债,20180126,20180130,8.9,,
110043.SH,无锡转债,20180519,20180521,8.9,8.9,6.85
110043.SH,无锡转债,20180529,20180605,8.9,6.85,6.7
110043.SH,无锡转债,20190525,20190531,8.9,6.7,6.52
110043.SH,无锡转债,20200429,20200430,8.9,6.52,5.97
110043.SH,无锡转债,20200601,20200605,8.9,5.97,5.79
110043.SH,无锡转债,20210629,20210706,8.9,5.79,5.61
110043.SH,无锡转债,20220629,20220706,8.9,5.61,5.43
110043.SH,无锡转债,20230207,20230208,8.9,5.43,5.63
110043.SH,无锡转债,20230629,20230706,8.9,5.63,5.43
110044.SH,广电转债,20180625,20180627,6.91,,
110044.SH,广电转债,20190605,20190613,6.91,6.91,6.9
110044.SH,广电转债,20210713,20210720,6.91,6.9,6.87
110044.SH,广电转债,20220706,20220713,6.91,6.87,6.84
110044.SH,广电转债,20230706,20230713,6.91,6.84,6.82
110044.SH,广电转债,20240604,20240605,6.91,6.82,4.41
110045.SH,海澜转债,20180711,20180713,12.4,,
110045.SH,海澜转债,20190509,20190515,12.4,12.4,12.02
110045.SH,海澜转债,20200702,20200708,12.4,12.02,11.75
110045.SH,海澜转债,20210427,20210428,12.4,11.75,7.3
110045.SH,海澜转债,20210610,20210617,12.4,7.3,7.04
110045.SH,海澜转债,20220623,20220629,12.4,7.04,6.53
110045.SH,海澜转债,20230531,20230606,12.4,6.53,6.1
110046.SH,圆通转债,20181116,20181120,10.89,,
110046.SH,圆通转债,20190530,20190605,10.89,10.89,10.74
