ts_code,bond_short_name,publish_date,end_date,issue_size,convert_price_initial,convert_price,convert_val,convert_vol,convert_ratio,acc_convert_val,acc_convert_vol,acc_convert_ratio,remain_size,total_shares
110093.SH,神马转债,20260828,20260828,3000000000.0,8.25,8.08,993.84,123.0,3.3e-05,780149993.84,96193543.0,26.005,2219844006.16,1090579131.0
110075.SH,南航转债,20260828,20260828,16000000000.0,6.24,6.17,999.54,162.0,6e-06,10104077997.7,1619244048.0,63.1505,5895922002.3,18120970330.0
110077.SH,洪城转债,20260828,20260828,1800000000.0,7.13,4.41,996.66,226.0,5.5e-05,1216253121.78,218140730.0,67.5696,583746878.22,1303364550.0
110081.SH,闻泰转债,20260828,20260828,8600000000.0,96.69,18.36,214867.08,11703.0,0.002498,1394478168.76,75801230.0,16.2149,7205485831.24,1320409890.0
110081.SH,闻泰转债,20260827,20260827,8600000000.0,96.69,18.36,577936.08,31478.0,0.00672,1394263301.68,75789527.0,16.2124,7205700698.32,1320398187.0
110077.SH,洪城转债,20260827,20260827,1800000000.0,7.13,4.41,996.66,226.0,5.5e-05,1216252125.12,218140504.0,67.5696,583747874.88,1303364324.0
110081.SH,闻泰转债,20260826,20260826,8600000000.0,96.69,18.36,327946.32,17862.0,0.003813,1393685365.6,75758049.0,16.2056,7206278634.4,1320366709.0
111014.SH,李子转债,20260826,20260826,600000000.0,19.47,18.21,983.34,54.0,0.000164,69981.04,3662.0,0.0117,599921018.96,387616562.0
110095.SH,双良转债,20260825,20260825,2600000000.0,11.93,6.18,994.98,161.0,3.8e-05,1199376967.18,193541489.0,46.1299,1400623032.82,2064202740.0
110081.SH,闻泰转债,20260825,20260825,8600000000.0,96.69,18.36,37986.84,2069.0,0.000442,1393357419.28,75740187.0,16.2018,7206606580.72,1320348847.0
110100.SH,龙建转债,20260825,20260825,1000000000.0,4.59,4.59,996.03,217.0,0.0001,24905.34,5426.0,0.0025,999975094.66,1013701472.0
110095.SH,双良转债,20260824,20260824,2600000000.0,11.93,6.18,994.98,161.0,3.8e-05,1199375972.2,193541328.0,46.1298,1400624027.8,2064202579.0
110077.SH,洪城转债,20260824,20260824,1800000000.0,7.13,4.41,122999.31,27891.0,0.006833,1216251128.46,218140278.0,67.5695,583748871.54,1303364098.0
110081.SH,闻泰转债,20260824,20260824,8600000000.0,96.69,18.36,15991.56,871.0,0.000186,1393319432.44,75738118.0,16.2014,7206644567.56,1320346778.0
110075.SH,南航转债,20260821,20260821,16000000000.0,6.24,6.17,999.54,162.0,6e-06,10104076998.16,1619243886.0,63.1505,5895923001.84,18120970168.0
111015.SH,东亚转债,20260820,20260820,690000000.0,24.95,20.28,993.72,49.0,0.000144,23786993.72,1154414.0,3.4474,666213006.28,114720414.0
110084.SH,贵燃转债,20260818,20260818,1000000000.0,7.18,6.42,2998.14,467.0,0.0003,184275975.24,25800830.0,18.4276,815721024.76,1163985857.0
110081.SH,闻泰转债,20260817,20260817,8600000000.0,96.69,18.36,991.44,54.0,1.2e-05,1393303440.88,75737247.0,16.2012,7206660559.12,1320345907.0
110085.SH,通22转债,20260817,20260817,12000000000.0,38.36,34.6,968.8,28.0,8e-06,16911906.4,442840.0,0.1409,11983080093.6,4501991024.0
110095.SH,双良转债,20260817,20260817,2600000000.0,11.93,6.18,994.98,161.0,3.8e-05,1199374977.22,193541167.0,46.1298,1400625022.78,2064202418.0
110076.SH,华海转债,20260817,20260817,1842600000.0,34.66,16.5,9999.0,606.0,0.000543,228989.0,7085.0,0.0124,1842370011.0,1497252862.0
110100.SH,龙建转债,20260814,20260814,1000000000.0,4.59,4.59,996.03,217.0,0.0001,23909.31,5209.0,0.0024,999976090.69,1013701255.0
111024.SH,澳弘转债,20260814,20260814,580000000.0,34.04,33.54,3991.26,119.0,0.000688,55864.42,1643.0,0.0096,579944135.58,142925593.0
