,1.0,3.0,5.0,7.0,10.0
2026-01-04,0.013322,0.013752,0.016247,0.017316,0.018427
2026-01-05,0.013562000000000001,0.014063,0.016378,0.017467999999999997,0.018584
2026-01-06,0.013562000000000001,0.014406,0.016651,0.017728,0.018829
2026-01-07,0.013562000000000001,0.014750000000000001,0.016732,0.017846,0.019018999999999998
2026-01-08,0.013237,0.014576,0.01661,0.017621,0.018905
2026-01-09,0.012887,0.014606,0.016551,0.017593,0.018782
2026-01-12,0.012537,0.014601,0.016427,0.017503,0.018585
2026-01-13,0.012562,0.014603,0.016428,0.017478,0.018519
2026-01-14,0.012712000000000001,0.014611,0.016283000000000002,0.017381,0.018494
2026-01-15,0.012611,0.014485,0.01628,0.017357,0.018544
2026-01-16,0.012424,0.014286,0.016099000000000002,0.017158,0.018424
2026-01-19,0.012884,0.01432,0.016097999999999998,0.01722,0.018393
2026-01-20,0.012738000000000001,0.014196,0.016024,0.017115000000000002,0.018326
2026-01-21,0.012854,0.014218,0.016043,0.017013,0.018312
2026-01-22,0.012863,0.014303999999999999,0.016147,0.017089,0.018425
2026-01-23,0.012819,0.014223,0.015965,0.016940999999999998,0.018298000000000002
2026-01-26,0.012948,0.014199999999999999,0.015975,0.016968,0.018242
2026-01-27,0.013028999999999999,0.014231,0.016014999999999998,0.016994,0.018311
2026-01-28,0.013052999999999999,0.014159999999999999,0.015821,0.0169,0.018164
2026-01-29,0.013007999999999999,0.014063,0.015784,0.016851,0.018174
2026-01-30,0.012999,0.014014,0.015761,0.016759,0.018112
2026-02-02,0.013076,0.013996,0.015768,0.016857999999999998,0.0182
2026-02-03,0.013073,0.013892999999999999,0.015721,0.016836,0.018172
2026-02-04,0.013078000000000001,0.013895999999999999,0.015747999999999998,0.016862,0.018193
2026-02-05,0.013104,0.013806,0.015686,0.016762,0.018169
2026-02-06,0.013207,0.013809,0.015552,0.016665,0.018102
2026-02-09,0.013153,0.013788,0.015532999999999998,0.016566,0.018113999999999998
2026-02-10,0.013151,0.013788,0.015486999999999999,0.01657,0.018094
2026-02-11,0.013141,0.013788,0.015435,0.016479,0.017994
2026-02-12,0.013164,0.013758999999999999,0.015387,0.01642,0.017893
2026-02-13,0.013168,0.013761,0.01544,0.016551,0.017928
2026-02-14,0.013145,0.013742,0.015366,0.016520999999999997,0.017899
2026-02-24,0.01315,0.013744000000000001,0.01536,0.016468,0.018023
2026-02-25,0.013218,0.013806,0.015495000000000002,0.016627,0.018158
2026-02-26,0.013271999999999999,0.013856,0.015626,0.016845000000000002,0.018288
2026-02-27,0.013216,0.013826,0.015499,0.016757,0.017877
2026-02-28,0.013168,0.013776,0.015425,0.016646,0.017753
2026-03-02,0.013092999999999999,0.013727,0.015379,0.016589,0.017761
