日期,方向,标的
2019-01-25,做多,128049.SZ
2019-01-25,做多,127004.SZ
2019-01-25,做多,128022.SZ
2019-01-25,做多,123003.SZ
2019-01-25,做多,123010.SZ
2019-01-25,做多,113017.SH
2019-01-25,做多,123015.SZ
2019-01-25,做多,128023.SZ
2019-01-25,做多,128036.SZ
2019-01-25,做多,128018.SZ
2019-01-25,做多,127003.SZ
2019-01-25,做多,123017.SZ
2019-01-25,做多,128015.SZ
2019-01-25,做多,128037.SZ
2019-01-25,做多,128013.SZ
2019-01-25,做空,113013.SH
2019-01-25,做空,113011.SH
2019-01-25,做空,127006.SZ
2019-01-25,做空,128024.SZ
2019-01-25,做空,113009.SH
2019-01-25,做空,110033.SH
2019-01-25,做空,110034.SH
2019-01-25,做空,110041.SH
2019-01-25,做空,110032.SH
2019-01-25,做空,127005.SZ
2019-01-25,做空,113008.SH
2019-01-25,做空,128047.SZ
2019-01-25,做空,127007.SZ
2019-01-25,做空,110042.SH
2019-01-25,做空,110031.SH
2019-02-22,做多,113521.SH
2019-02-22,做多,128038.SZ
2019-02-22,做多,128022.SZ
2019-02-22,做多,113524.SH
2019-02-22,做多,128050.SZ
2019-02-22,做多,128036.SZ
2019-02-22,做多,123010.SZ
2019-02-22,做多,113017.SH
2019-02-22,做多,128051.SZ
2019-02-22,做多,123017.SZ
2019-02-22,做多,128018.SZ
2019-02-22,做多,127004.SZ
2019-02-22,做多,128023.SZ
2019-02-22,做多,128015.SZ
2019-02-22,做多,127003.SZ
2019-02-22,做多,128037.SZ
2019-02-22,做多,128013.SZ
2019-02-22,做空,113013.SH
2019-02-22,做空,113011.SH
2019-02-22,做空,127006.SZ
2019-02-22,做空,128024.SZ
2019-02-22,做空,110041.SH
2019-02-22,做空,110048.SH
2019-02-22,做空,113009.SH
2019-02-22,做空,110034.SH
2019-02-22,做空,110031.SH
2019-02-22,做空,127005.SZ
2019-02-22,做空,113008.SH
2019-02-22,做空,110033.SH
2019-02-22,做空,128047.SZ
2019-02-22,做空,128029.SZ
2019-02-22,做空,110032.SH
2019-02-22,做空,128041.SZ
2019-02-22,做空,113014.SH
2019-03-29,做多,128033.SZ
2019-03-29,做多,123011.SZ
2019-03-29,做多,123018.SZ
2019-03-29,做多,128042.SZ
2019-03-29,做多,128049.SZ
2019-03-29,做多,113521.SH
2019-03-29,做多,128050.SZ
2019-03-29,做多,123017.SZ
2019-03-29,做多,128015.SZ
2019-03-29,做多,127004.SZ
2019-03-29,做多,113524.SH
2019-03-29,做多,110050.SH
2019-03-29,做多,128037.SZ
2019-03-29,做多,128051.SZ
2019-03-29,做多,128023.SZ
2019-03-29,做多,128052.SZ
2019-03-29,做多,127009.SZ
2019-03-29,做多,128013.SZ
2019-03-29,做空,113011.SH
2019-03-29,做空,110034.SH
2019-03-29,做空,110031.SH
2019-03-29,做空,113013.SH
2019-03-29,做空,113009.SH
2019-03-29,做空,127006.SZ
2019-03-29,做空,113014.SH
2019-03-29,做空,127010.SZ
2019-03-29,做空,110048.SH
2019-03-29,做空,110044.SH
2019-03-29,做空,113008.SH
2019-03-29,做空,128047.SZ
2019-03-29,做空,113516.SH
2019-03-29,做空,128024.SZ
2019-03-29,做空,128041.SZ
2019-03-29,做空,113506.SH
2019-03-29,做空,128030.SZ
2019-03-29,做空,110049.SH
2019-04-30,做多,123011.SZ
2019-04-30,做多,123018.SZ
2019-04-30,做多,113521.SH
2019-04-30,做多,128033.SZ
2019-04-30,做多,128018.SZ
2019-04-30,做多,127003.SZ
2019-04-30,做多,127004.SZ
2019-04-30,做多,128050.SZ
2019-04-30,做多,113524.SH
2019-04-30,做多,113017.SH
2019-04-30,做多,128023.SZ
2019-04-30,做多,128015.SZ
2019-04-30,做多,128051.SZ
2019-04-30,做多,128037.SZ
2019-04-30,做多,123017.SZ
2019-04-30,做多,127009.SZ
2019-04-30,做多,128013.SZ
2019-04-30,做多,128052.SZ
2019-04-30,做空,128043.SZ
2019-04-30,做空,110031.SH
2019-04-30,做空,113021.SH
2019-04-30,做空,113011.SH
2019-04-30,做空,113009.SH
2019-04-30,做空,113013.SH
2019-04-30,做空,128030.SZ
2019-04-30,做空,110034.SH
2019-04-30,做空,128041.SZ
2019-04-30,做空,110044.SH
2019-04-30,做空,128024.SZ
2019-04-30,做空,128036.SZ
2019-04-30,做空,127006.SZ
2019-04-30,做空,110041.SH
2019-04-30,做空,127010.SZ
2019-04-30,做空,110049.SH
2019-04-30,做空,110033.SH
2019-04-30,做空,113014.SH
2019-05-31,做多,128018.SZ
2019-05-31,做多,113521.SH
2019-05-31,做多,127003.SZ
2019-05-31,做多,113505.SH
2019-05-31,做多,123011.SZ
2019-05-31,做多,128022.SZ
2019-05-31,做多,128042.SZ
2019-05-31,做多,127004.SZ
2019-05-31,做多,128050.SZ
2019-05-31,做多,113528.SH
2019-05-31,做多,113524.SH
2019-05-31,做多,127009.SZ
2019-05-31,做多,128063.SZ
2019-05-31,做多,113017.SH
2019-05-31,做多,113530.SH
2019-05-31,做多,110056.SH
2019-05-31,做多,128023.SZ
2019-05-31,做多,128062.SZ
2019-05-31,做多,128037.SZ
2019-05-31,做多,123017.SZ
2019-05-31,做多,128051.SZ
2019-05-31,做多,128015.SZ
2019-05-31,做多,128013.SZ
2019-05-31,做空,110031.SH
2019-05-31,做空,110044.SH
2019-05-31,做空,113013.SH
2019-05-31,做空,113021.SH
2019-05-31,做空,110034.SH
2019-05-31,做空,128043.SZ
2019-05-31,做空,113011.SH
2019-05-31,做空,128041.SZ
2019-05-31,做空,110053.SH
2019-05-31,做空,127010.SZ
2019-05-31,做空,128024.SZ
2019-05-31,做空,113009.SH
2019-05-31,做空,128030.SZ
2019-05-31,做空,128036.SZ
2019-05-31,做空,110033.SH
2019-05-31,做空,110041.SH
2019-05-31,做空,127006.SZ
2019-05-31,做空,113014.SH
2019-05-31,做空,127005.SZ
2019-05-31,做空,110048.SH
2019-05-31,做空,113008.SH
2019-05-31,做空,113517.SH
2019-05-31,做空,113507.SH
2019-06-28,做多,123023.SZ
