model,factor,rebalance_date,return_date,n_obs,ic,rank_ic
BS,bs_deviation,2019-01-25,2019-02-22,67,0.4651543648871639,0.435669247346157
BS,liquidity,2019-01-25,2019-02-22,67,0.4989829387639317,0.37137840210711154
BS,momentum,2019-01-25,2019-02-22,67,0.4611783720832401,0.2639476414717855
BS,price_volume,2019-01-25,2019-02-22,67,0.2850147350090515,0.25133689839572193
BS,valuation,2019-01-25,2019-02-22,67,0.26853634056621006,0.3123553356213585
BS,volatility,2019-01-25,2019-02-22,67,0.6040744228822802,0.3758879399792482
BS,bs_deviation,2019-02-22,2019-03-29,75,0.28066659971161867,0.32463726884779515
BS,liquidity,2019-02-22,2019-03-29,75,0.10049732666959953,0.08469416785206259
BS,momentum,2019-02-22,2019-03-29,75,0.04485454560859079,-0.04611664295874822
BS,price_volume,2019-02-22,2019-03-29,75,0.03994675566282456,0.015476529160739685
BS,valuation,2019-02-22,2019-03-29,75,0.18700409245167612,0.2508108108108108
BS,volatility,2019-02-22,2019-03-29,75,0.12787598605882805,-0.00395448079658606
BS,bs_deviation,2019-03-29,2019-04-30,94,0.09970624864930713,-0.10687425495791641
BS,liquidity,2019-03-29,2019-04-30,94,-0.010281938449888848,0.05212585341184121
BS,momentum,2019-03-29,2019-04-30,94,-0.016055016809010073,-0.24589098002384135
BS,price_volume,2019-03-29,2019-04-30,94,-0.058595079109426046,-0.31623017736516995
BS,valuation,2019-03-29,2019-04-30,94,0.08891393067246882,0.039742802441931874
BS,volatility,2019-03-29,2019-04-30,94,-0.058373659523505844,-0.287519416248239
BS,bs_deviation,2019-04-30,2019-05-31,85,-0.015169207296026188,-0.17164354113738517
BS,liquidity,2019-04-30,2019-05-31,85,0.14932292029389604,-0.03511823333984757
BS,momentum,2019-04-30,2019-05-31,85,0.008675129943384685,-0.05092827828805941
BS,price_volume,2019-04-30,2019-05-31,85,-0.1527386108291905,-0.2672073480555013
BS,valuation,2019-04-30,2019-05-31,85,-0.21611900789434957,-0.1944498729724448
BS,volatility,2019-04-30,2019-05-31,85,0.1051605879118336,-0.17568888020324408
BS,bs_deviation,2019-05-31,2019-06-28,74,0.1834880040084342,0.2445464642724916
BS,liquidity,2019-05-31,2019-06-28,74,0.03884907115170869,0.10501295816364307
BS,momentum,2019-05-31,2019-06-28,74,-0.15965494039866926,-0.21063309885227688
BS,price_volume,2019-05-31,2019-06-28,74,0.03329609019220466,-0.10761940022213994
BS,valuation,2019-05-31,2019-06-28,74,0.14021269220376534,0.2256497593483894
BS,volatility,2019-05-31,2019-06-28,74,-0.12438136674382534,0.22588670862643465
BS,bs_deviation,2019-06-28,2019-07-26,83,-0.01646878993586759,-0.1490281684228202
BS,liquidity,2019-06-28,2019-07-26,83,-0.34786144909985117,-0.0675034633306746
BS,momentum,2019-06-28,2019-07-26,83,-0.5653075815533248,-0.2327568112169934
